Posted on: 2023-01-23; at: 17:05,CONFLUENTINC,"Want to learn how to build a scalable data application using a serverless event driven architecture?
Come check out how @HelloExtend pairs our platform with @AWScloud Lambda to build scalable data applications that are redefining their industry! 👉 https://t.co/uXU9cNQ8VA https://t.co/RuxSiteJr7",2023-01-23 17:05:03+00:00
Posted on: 2023-01-13; at: 20:05,CONFLUENTINC,"Want to learn how to plan schema evolution for your data?

How to prevent poisoning your data pipelines?

Or maybe how to replicate your schemas between Confluent Cloud clusters?

We can teach you! 

Sign up for our live, interactive workshop. 👉 https://t.co/luwkVnVdAq https://t.co/zBIvVChQom",2023-01-13 20:05:03+00:00
Posted on: 2023-01-12; at: 18:02,CONFLUENTINC,"Do you have a great #datastreaming story to share? 

The #Current23 call for papers is now open! 🎉

Submit your abstract and get ready to take the stage at the only data streaming industry conference. 👉 https://t.co/F42FPJTt6X https://t.co/lG7Yoxq8QH",2023-01-12 18:02:33+00:00
Posted on: 2023-01-11; at: 19:06,CONFLUENTINC,"Producers are the way you get data into @apachekafka.

In the next #KafkaOnTheGo, @krisajenkins explains how producers write events to your clusters. 

For more on the core concepts of #ApacheKafka check out the full #KafkaOnTheGo series: https://t.co/9SjvtBesiA https://t.co/IPttrQSfjr",2023-01-11 19:06:08+00:00
Posted on: 2022-12-30; at: 17:05,CONFLUENTINC,Java-averse and looking for an easier way to process your real-time data? Learn more about @ksqlDB—the event streaming database for @apachekafka that lets you write streaming queries against Kafka and extend your results via REST ➡️ https://t.co/EaxYijWmWa https://t.co/cVCuKRjevZ,2022-12-30 17:05:03+00:00
Posted on: 2022-12-27; at: 16:59,CONFLUENTINC,"Events are at the ♥️ of #ApacheKafka. 
But how do Kafka events work? @TheDanicaFine explains it all in 1 minute.
For more on the core concepts of @apachekafka check out the full #KafkaOnTheGo series here → https://t.co/C9IMG5p9NL https://t.co/HJCViH3fjV",2022-12-27 16:59:51+00:00
Posted on: 2022-12-20; at: 19:05,CONFLUENTINC,Wondering how to write events using the @apachekafka producer API? Follow along in this introductory course and learn more: https://t.co/xEmoDxGZLe https://t.co/ItKzq5j2Tw,2022-12-20 19:05:02+00:00
Posted on: 2022-12-17; at: 17:05,CONFLUENTINC,⌨️ Next up: Experiment using @apachekafka partitions to break up Kafka topics and distribute event data across multiple nodes in your cluster with @TheDanicaFine in this 101 hands-on exercise. Learn more: https://t.co/o3upZM5vjb https://t.co/RHrRw4mgwu,2022-12-17 17:05:02+00:00
Posted on: 2022-12-15; at: 17:00,CONFLUENTINC,Searching for key factors to consider when building an event-driven architecture? @AdamBellemare discusses the 4 dimensions of events and designing event streams along with best practices on #StreamingAudio hosted by @krisajenkins. Learn more: https://t.co/Q7yhBgbInp https://t.co/mjhMpVrEwR,2022-12-15 17:00:57+00:00
Posted on: 2022-12-14; at: 19:16,CONFLUENTINC,"Got 1 minute?⏱
Learn core concepts in @apachekafka, explained by our roving band of Dev Advocates in our new series #KafkaOnTheGo. 
@TheDanicaFine breaks down the 🔑 question: What are Kafka events?
Catch the full series here → https://t.co/C9IMG5oBYd https://t.co/BCVPT4te9q",2022-12-14 19:16:20+00:00
